,Name,Subtitle,Acceleration,TopSpeed,Range,Efficiency,FastChargeSpeed,Drive,NumberofSeats,PriceinGermany,PriceinUK
133,Hyundai Kona Electric 64 kWh,Battery Electric Vehicle |       64 kWh,7.9 sec,167 km/h,395 km,162.0,370 km/h,Front Wheel Drive,5,41850.0,32550.0
134,Porsche Taycan 4S Cross Turismo,Battery Electric Vehicle |       83.7 kWh,4.1 sec,240 km/h,405 km,207.0,850 km/h,All Wheel Drive,4,111842.0,87820.0
135,Porsche Taycan Turbo Cross Turismo,Battery Electric Vehicle |       83.7 kWh,3.3 sec,250 km/h,385 km,217.0,800 km/h,All Wheel Drive,4,154444.0,116950.0
136,Porsche Taycan Turbo S Cross Turismo,Battery Electric Vehicle |       83.7 kWh,2.9 sec,250 km/h,380 km,220.0,790 km/h,All Wheel Drive,4,187746.0,139910.0
137,Kia EV6 GT,Battery Electric Vehicle |       77.4 kWh ,3.5 sec,260 km/h,395 km,196.0,920 km/h,All Wheel Drive,5,65990.0,58295.0
138,BMW iX xDrive40,Battery Electric Vehicle |       71 kWh,6.1 sec,200 km/h,350 km,203.0,470 km/h,All Wheel Drive,5,77300.0,69905.0
139,BMW iX xDrive50,Battery Electric Vehicle |       105.2 kWh,4.6 sec,200 km/h,505 km,208.0,620 km/h,All Wheel Drive,5,98000.0,91905.0
142,Hyundai IONIQ 5 Standard Range 2WD,Battery Electric Vehicle |       58 kWh ,8.5 sec,185 km/h,310 km,187.0,720 km/h,Rear Wheel Drive,5,41900.0,36995.0
144,Hyundai IONIQ 5 Long Range 2WD,Battery Electric Vehicle |       72.6 kWh ,7.4 sec,185 km/h,385 km,189.0,890 km/h,Rear Wheel Drive,5,45100.0,41945.0
145,Hyundai IONIQ 5 Long Range AWD,Battery Electric Vehicle |       72.6 kWh ,5.2 sec,185 km/h,375 km,194.0,870 km/h,All Wheel Drive,5,48900.0,45145.0
146,Kia EV6 Standard Range 2WD,Battery Electric Vehicle |       58 kWh ,8.5 sec,185 km/h,320 km,181.0,740 km/h,Rear Wheel Drive,5,44990.0,40985.0
147,Kia EV6 Long Range 2WD,Battery Electric Vehicle |       77.4 kWh ,7.5 sec,185 km/h,420 km,184.0,980 km/h,Rear Wheel Drive,5,54990.0,48000.0
